,Time,Sim1,Sim2,Sim3
4147,,Those Days,Radio Cambodia,Перелом Профиля
4148,2003 – present (19 years),This Will Destroy You,pg.lost,The End of the Ocean
4149,,Комната,200 По Встречной,Дежавю
4150,,Оригами,Океан Моей Надежды,Radio Cambodia
4151,1991 – present (31 years),Tracktor Bowling,Louna,Amatory
4152,,Singleton,Фарбований Лис,Абздольц
4153,2005 – 2010 (4 years),Ideя Fix,Origami,medusa'scream
4154,,Shark & Blitz,Shikari Sound System,Stenchman
4155,,Ken Laszlo,Baby's Gang,Maio
4156,2006 – present (16 years),Brighten,Austin Gibbs,Roy English
4157,,Мои Любимые Игры,Дежавю,Achtung!Babies
4158,2007 – present (15 years),Верка Сердючка,Руки Вверх,Время И Стекло
4159,25 September 1981 (age 41),Angel Olsen,Jenny Hval,Julia Holter
4160,25 January 1989 (age 33),MainstreaM One,Slim,Типси Тип
4161,2008 – present (14 years),Pompeya,Patterns,Gayana
4162,,The Her Boyfriends,the pretty green,The Powlers
4163,2001 – present (21 years),Timo Maas,Basement Jaxx,Overseer
4164,,Flapjack,Ak47,The Toobes
4165,22 March 1989 (age 33),Fred V & Grafix,Camo & Krooked,Wilkinson
4166,1975 – present (47 years),Stiff Little Fingers,The Rezillos,The Jam
4167,1963 – present (59 years),Jeff Beck Group,Cream,The Byrds
4168,21 July 1981 (age 41),Jessie Ware,Emeli Sandé,Rebecca Ferguson
4169,19 September 1968 (age 54),Chavela Vargas,La Santa Cecilia,Ely Guerra
4170,25 May 1984 (age 38),Megan McCauley,Marit Larsen,Michelle Branch
4171,1995 – 2015 (20 years),Shiny Toy Guns,Madina Lake,The Academy Is...
4172,2001 – present (21 years),Quiero Club,Austin TV,Jessy Bulbo
4173,3 March 1977 (age 45),Boyzone,Westlife,Gary Barlow
4174,1 July 1983 (age 39),Marion Raven,M2M,Charlotte Martin
4175,1995 – 2007 (12 years),Mest,Autopilot Off,Amber Pacific
4176,24 November 1970 (age 52),Belanova,Natalia Lafourcade,Ximena Sariñana
4177,10 March 1989 (age 33),Lea,Lena,Silbermond
4178,1999 – present (23 years),The Used,Brand New,Thursday
4179,2004 – present (18 years),Alex Band,The Calling,Sunrise Avenue
4180,2003 – 2012 (9 years),Forever the Sickest Kids,Go Radio,The Summer Set
4181,1987 – present (35 years),Morbid Angel,Suffocation,Malevolent Creation
4182,1994 – present (28 years),Desaster,Nifelheim,Absu
4183,1994 – present (28 years),Otyg,Borknagar,Thyrfing
4184,1989 – present (33 years),Entombed A.D.,Dismember,Grave
4185,1996 – present (26 years),Nocturnal Depression,Judas Iscariot,Sargeist
4186,1995 – present (27 years),Enslaved,Arcturus,Vintersorg
4187,1987 – 2018 (31 years),Darkthrone,Mayhem,Bathory
4188,1987 – present (35 years),Immortal,Bathory,Mayhem
4189,1984 – 2008 (24 years),Hellhammer,Venom,Bathory
4190,,Gorement,Entombed,Abhorrence
4191,1988 – present (34 years),Morbid Angel,Deicide,Death
4192,1990 – present (32 years),Deicide,Malevolent Creation,Belphegor
4193,,Dark Angel,Morbid Angel,Obituary
4194,1978 – present (44 years),Tygers of Pan Tang,Warlock,Plasmatics
4195,,Dee Snider,Motorjesus,Sister Sin
4196,,Saint Vitus,Reverend Bizarre,The Obsessed
4197,,Psychonaut 4,Happy Days,Nocturnal Depression
4198,2001 – present (21 years),Myrkgrav,Kivimetsän Druidi,Lumsk
4199,1985 – 2000 (15 years),Sextrash,Hellhammer,Mystifier
4200,1999 – 2003 (4 years),Pride & Glory,Down,Hellyeah
4201,,Borknagar,Solefald,Enslaved
4202,1988 – present (34 years),Warlock,U.D.O.,Axel Rudi Pell
4203,1982 – 1984 (2 years),Celtic Frost,Venom,Sarcófago
4204,1991 – 2017 (26 years),Vlad Tepes,Judas Iscariot,Xasthur
4205,"Oslo, Norway",V8 Wankers,Backstreet Girls,Trashcan Darlings
4206,,Sacramentum,Watain,Emperor
4207,27 June 1986 (age 36),Miranda Cosgrove,Big Time Rush,R5
4208,21 August 1989 (age 33),Hilary Duff,Ashley Tisdale,Jessica Simpson
4209,,Pink feat. Redman,www.musiczone.10x.co.il,P&S 2006
4210,21 February 1989 (age 33),The Cheetah Girls,Raven-Symoné,High School Musical
4211,,Christian Eigner,Alan Wilder,Kurtis Mantronik ft Chamonix
4212,2002 – present (20 years),Melotron,State of the Union,Blume
4213,29 April 1975 (age 47),Макс Фадеев,Total,Монокини
4214,23 June 1965 (age 57),ВИА Гра,Филипп Киркоров,Леонид Агутин
4215,1983 – present (39 years),Секрет,Валерий Сюткин,Жанна Агузарова
4216,,Compact Space,Lowe,Alan Wilder
4217,29 January 1970 (age 52),Алексей Глызин,Андрей Губин,Валерия
4218,1998 – 2009 (10 years),Ева Польна,Reflex,Иванушки International
4219,,Black Haven,Gold Kids,(We Are) Performance
4220,1999 – 2003 (4 years),Planet Funk,Yoav,Dave Gahan
4221,,Paul Oakenfold feat. Matt Goss,Mishelle feat. Randi,Calvin West
4222,27 July 1969 (age 53),Narcotic Thrust,Fluke,Audio Bullys
4223,,Hotel Persona,Chris Corner,Timo Maas feat. Brian Molko
4224,,Ladytron,Zeigeist,Marnie
4225,,Edward Maya,DJ Project,Morandi
4226,,!distain,Tenek,Obscenity Trial
4227,20 February 1963 (age 59),Shed Seven,Richard Ashcroft,The Stone Roses
4228,,Solitary Experiments,Rotersand,Assemblage 23
4229,1996 – present (26 years),The Minds of 99,The Mayan Factor,Static Cycle
4230,6 January 1938 (age 84),Toto Cutugno,Riccardo Fogli,Ricchi e poveri
4231,2001 – present (21 years),Модуль,Электронное Облако,Био
4232,27 January 1968 (age 54),The Funky Lowlives,Smith & Mighty,The Mighty Bop
4233,,Minerve,And One,De/Vision
4234,1992 – 2000 (8 years),Sero.Overdose,Glis,Endanger
4235,1993 – present (29 years),Dragonland,Derdian,Fairyland
4236,1998 – present (24 years),Power Quest,Fairyland,Dark Moor
4237,2001 – present (21 years),Unlucky Morpheus,Dragon Guardian,Lovebites
4238,1998 – present (24 years),Bloodbound,Power Quest,Edguy
4239,1998 – present (24 years),Dragonland,Derdian,Dark Moor
4240,,Dark Moor,Tiger Trap,Talulah Gosh
4241,1990 – present (32 years),Nostradameus,Firewind,Axenstar
4242,1991 – present (31 years),Vision Divine,Secret Sphere,Derdian
4243,2000 – present (22 years),Celesty,Axenstar,Nocturnal Rites
4244,1998 – present (24 years),Bloodbound,Freedom Call,Celesty
4245,1997 – present (25 years),Vision Divine,Labyrinth,Nocturnal Rites
4246,,Avantasia,Wuthering Heights,After Forever
4247,1998 – present (24 years),Xandria,Amberian Dawn,Sirenia
4248,1989 – present (33 years),Silent Force,Threshold,Masterplan
4249,1999 – present (23 years),Nocturnal Rites,Savage Circus,Saint Deamon
4250,2006 – present (16 years),Luca Turilli,Luca Turilli's Rhapsody,Amberian Dawn
4251,1997 – present (25 years),Orden Ogan,Freedom Call,Spellblast
4252,1998 – present (24 years),Secret Sphere,Labyrinth,Nocturnal Rites
4253,,Dragonland,Nocturnal Rites,Labyrinth
4254,1983 – present (39 years),Iron Fire,Virgin Steele,White Skull
4255,,Magic Kingdom,Derdian,Dragonland
4256,1999 – present (23 years),Almah,Angra,Dragonland
4257,1998 – present (24 years),Masterplan,Dark Moor,Nocturnal Rites
4258,1999 – present (23 years),Bloodbound,Iron Savior,HammerFall
4259,1999 – present (23 years),Kivimetsän Druidi,Crimfall,Ensiferum
4260,21 July 1978 (age 44),Stephen Marley,Ky-Mani Marley,Alborosie
4261,2001 – present (21 years),Revolution Within,W.A.K.O.,Blacksunrise
4262,1998 – present (24 years),Death Before Dishonor,Born from Pain,Terror
4263,1 December 1979 (age 43),Zona Ganjah,Cultura Profética,Gondwana
4264,11 December 1954 (age 67),The Jacksons,The Jackson 5,Michael Jackson
4265,1981 – present (41 years),Cazuza,Os Paralamas Do Sucesso,Frejat
4266,2010 – present (12 years),Wanessa,Sandy e Junior,BR'OZ
4267,20 June 1949 (age 73),Commodores,Michael Bolton,Billy Ocean
4268,1992 – present (30 years),Tchakabum,Terra Samba,Banda Eva
4269,1992 – present (30 years),Sponge,Toadies,Citizen King
4270,1989 – present (33 years),Local H,Seven Mary Three,Everclear
4271,,Dirty York,Medusa Stone,Jive Mother Mary
4272,,The Company Band,Orange Goblin,The Atomic Bitchwax
4273,1986 – present (36 years),Killdozer,NoMeansNo,Les Thugs
4274,1998 – present (24 years),The Stone Foxes,The Blackwater Fever,Rival Sons
4275,1988 – present (34 years),Green River,Tad,Screaming Trees
4276,27 January 1968 (age 54),Kaada/Patton,Fantômas Melvins Big Band,Maldoror
4277,1993 – present (29 years),Newsboys,DC Talk,Audio Adrenaline
4278,,No Sports,Prague Ska Conspiracy,The Amphetameanies
4279,16 April 1947,Al Stewart,The Doobie Brothers,Stealers Wheel
4280,,,,
4281,1990 – present (32 years),Big Wreck,I Mother Earth,Matthew Good Band
4282,1992 – present (30 years),Vast,Remy Zero,Abandoned Pools
4283,1994 – present (28 years),Bad Radio,Three Fish,Jeff Ament
4284,1998 – present (24 years),Oleander,Default,Earshot
4285,1976 – 2017 (41 years),Tom Petty,Mudcrutch,Traveling Wilburys
4286,1990 – 1998 (8 years),The Parlor Mob,I Mother Earth,Bonafide
4287,1987 – present (35 years),Better Than Ezra,Toad The Wet Sprocket,Hootie & The Blowfish
4288,,Planet of Women,Atomic Blonde,The Aquanettas
4289,1989 – 1997 (8 years),Pat Travers,Humble Pie,Gov't Mule
4290,1993 – present (29 years),For Squirrels,Overwhelming Colorfast,The Dambuilders
4291,1992 – present (30 years),No Use for a Name,The Ataris,New Found Glory
4292,1987 – present (35 years),Shudder To Think,Chavez,Jawbox
4293,13 April 1966 (age 56),Chris Robinson,Rich Robinson,Tishamingo
4294,,,,
4295,1971 – 1986 (15 years),Return to Forever,Jaco Pastorius,Herbie Hancock
4296,26 July 1977 (age 45),Fireflight,Natalie Grant,Newsboys
4297,,Magenta Skycode,KA SO RE,Shine 2009
4298,2003 – present (19 years),Robots in Disguise,Marie Madeleine,Princess Chelsea
4299,,Pariisin Kevät,Scandinavian Music Group,PMMP
4300,2000 – present (22 years),Black Rebel Motorcycle Club,Dum Dum Girls,The Kills
4301,2001 – present (21 years),Cute Is What We Aim For,The Format,Cartel
4302,"Kalmar, Kalmar Municipality, Kalmar, Sweden",Kalle J,Unarmed Enemies,Le Sport
4303,2006 – 2012 (6 years),Late of the Pier,Hadouken!,Klaxons
4304,15 July 1976 (age 46),Le Sport,Kalle J,Gentle Touch
4305,1998 – 2008 (10 years),Michael Gray,The Go! Team,Stardust
4306,,Accu,Magenta Skycode,KA SO RE
4307,2005 – present (17 years),Shaun Baker,Royal Gigolos,Global Deejays
4308,,Sue Denim,DeadDogInBlackBag,Federal Drugs Administration
4309,,Seven Octaves,GD Luxxe,Sadman
4310,2007 – present (15 years),The Network,Green Day,Pinhead Gunpowder
4311,,Avec le Soleil Sortant de sa Bouche,METZ,The Hecks
4312,,Milo Moesche,Friends of redhalo,Fugdale
4313,,Titee,Jupiter6,Corrientes
4314,1998 (age 24),HealeyIsland,Metricks & GaiaBeat,Metricks
4315,,Bajinda Behind the Enemy Lines,Федул Жадный,Ёлочные Игрушки
4316,,mr. yyz,Oortcloud,Dj Blush
4317,,Titee,Pixieguts,HealeyIsland
4318,2000 – present (22 years),Ralph Myerz and the Jack Herren Band,Flunk,Yonderboi
4319,,Ninjaspark,Calis,Din Stalker
4320,,Titee,Corrientes,Pixieguts
4321,,Mike Keneally,Idiot Flesh,Frank Zappa
4322,,Titee & Pixieguts,Ludvik und die Antilopen,Cwtch
4323,,Lungbutter,Evil Jo Domp,New Idiots
4324,,Evil Jo Domp,New Idiots,Black Market Farts
4325,,Lungbutter,Black Market Farts,Evil Jo Domp
4326,,Pave64,ZZZZZZ,Eight to Infinity
4327,,HealeyIsland,Friends of redhalo,Fugdale
4328,1985 – present (37 years),Howe Gelb,Calexico,Lambchop
4329,,Sight like december,Vabian,The B-Side Project
4330,,SK123,Metricks & GaiaBeat,Metricks & Phrulex
4331,,Distant Fires Burning,Implicit Audio Frequency,SK123
4332,,Titee & Pixieguts,Pixieguts,Fugdale
4333,,baver,Corrientes,Cinema du Lyon
4334,,Audio Pancake,Karri O.,Kukkiva Kunnas
4335,,Brendan Wheatley,Drip-Dry Eyes,Proton Pigeon
4336,,Milo Moesche,HealeyIsland,Fugdale
4337,,Saluki Regicide & Mystified,[Schorsch Naumann?],Lâl Kendim
4338,,Evil Jo Domp,New Idiots,Black Market Farts
4339,,Franz Liszt,Dmitri Shostakovich,Frédéric Chopin
4340,12 February 1939,Robby Krieger,Nite City,Grace Slick & The Great Society
4341,,,,
4342,1998 – present (24 years),Inokentijs Mārpls,PND,Oranžās Brīvdienas
4343,2005 – present (17 years),Fear Before the March of Flames,Burden of a Day,Chiodos
4344,1998 – present (24 years),Evans Blue,Trapt,The Exies
4345,,Alan Brey & Dakota Star,"THE ""BAD""",Yasuo Sako
4346,2002 – present (20 years),ROOKiEZ is PUNK'D,UVERworld,Flow
4347,,the brilliant green,Elsa,伊藤由奈
4348,1992 – present (30 years),Matthew Good Band,Big Wreck,Moist
4349,1999 – present (23 years),July For Kings,Radford,Familiar 48
4350,1996 – present (26 years),MxPx,New Found Glory,No Use for a Name
4351,2003 – 2011 (8 years),Hot Hot Heat,We Are Scientists,The Vines
4352,2001 – present (21 years),Hedley,The Summer Set,Faber Drive
4353,6 August 1965 (age 57),Kalafina,FictionJunction,See-Saw
4354,,Five,Backstreet Boys,Darin
4355,1994 – present (28 years),Better Than Ezra,Tonic,Vertical Horizon
4356,2008 – present (14 years),Single Parents,Aldo Raine,"So Hideous, My Love..."
4357,,McEnroe,Los Planetas,Nacho Vegas
4358,2004 – 2009 (5 years),Ryan Adams,Whiskeytown,The Jayhawks
4359,2009 – 2021 (12 years),The Pains of Being Pure at Heart,Girls,Cloud Nothings
4360,,Elbow,The Charlatans,Turin Brakes
4361,2006 – present (16 years),The Postelles,The Last Royals,Tallhart
4362,10 November 1981 (age 41),Turin Brakes,David Gray,Willy Mason
4363,14 December 1970 (age 51),Laura Veirs,Natalie Merchant,Patty Griffin
4364,20 January 1986 (age 36),Pond,Melody's Echo Chamber,Unknown Mortal Orchestra
4365,1993 – 2004 (11 years),Lou Barlow,Sebadoh,Buffalo Tom
4366,2003 – present (19 years),Hayden,A.C. Newman,Great Lake Swimmers
4367,1997 – present (25 years),Greg Dulli,Afghan Whigs,The Gutter Twins
4368,2005 – present (17 years),Molho Negro,Cachorro Grande,Moptop
4369,,Badhoneys,Hein,June DeVille
4370,,,,
4371,20 January 1952 (age 70),Peter Criss,Kiss,Gene Simmons
4372,,Gluecifer,Backyard Babies,Dwarves
4373,27 April 1951 (age 71),Kiss,Peter Criss,Gene Simmons
4374,,Rock Rocket,Faichecleres,Love Bazucas
4375,,Ratt,Warrant,Poison
4376,,Jeito Moleque,Bokaloka,Sorriso Maroto
4377,,Sorriso Maroto,Exaltasamba,Bokaloka
4378,2007 – present (15 years),Marcos & Belutti,João Neto & Frederico,João Bosco & Vinícius
4379,,Pixote,Di Propósito,Thiaguinho
4380,1991 – present (31 years),Rick & Renner,Guilherme & Santiago,Bruno & Marrone
4381,22 January 1970 (age 52),Maneva,Chimarruts,Natiruts
4382,,Turma do Pagode,Exaltasamba,Mumuzinho
4383,1997 – present (25 years),Dibob,Cueio Limão,Forfun
4384,1982 – present (40 years),Asa de Águia,Banda Eva,Bell Marques
4385,,João Neto & Frederico,Marcos & Belutti,Fernando & Sorocaba
4386,,João Neto & Frederico,Marcos & Belutti,Fernando & Sorocaba
4387,,Hugo Pena e Gabriel,João Bosco e Vinicius,João Bosco & Vinicius Acústico pelo Brasil
4388,13 March 1991 (age 31),Matheus & Kauan,Jorge & Mateus,Henrique & Juliano
4389,,The Cast of High School Musical,"Zac Efron, Vanessa Hudgens, Lucas Grabeel, Corbin Bleu, Ashley Tisdale & Monique Coleman",Ryan & Sharpay
4390,,Oliver James,Lucy Woodward,Nikki Cleary
4391,,João Bosco e Vinicius,Hugo Pena & Gabriel,Henrique e Diego
4392,1991 – present (31 years),Exaltasamba,Arlindo Cruz,Pixote
4393,27 September 1982 (age 40),Ben Rector,Matt Wertz,Matt Nathanson
4394,,Kate Voegele,Colbie Caillat,Tristan Prettyman
4395,21 February 1979 (age 43),Mandy Moore,Jessica Simpson,INOJ
4396,30 January 1980 (age 42),Graham Colton,Matt Wertz,Jon McLaughlin
4397,16 June 1991 (age 31),Steps,Leona Lewis,Alexandra Burke
4398,,Melody Thornton,Kimberly Wyatt,Carmit Bachar
4399,1981 – present (41 years),The Go-Go's,Susanna Hoffs,Belinda Carlisle
4400,11 August 1954 (age 68),Squeeze,Elvis Costello & The Attractions,Elvis Costello
4401,16 April 1939,Dionne Warwick,The Ronettes,Sandie Shaw
4402,,No One,Twisted Method,Darwin's Waiting Room
4403,2001 – present (21 years),Oceano,Traitors,Emmure
4404,,King Conquer,War from a Harlots Mouth,I Declare War
4405,,Deathfuckingcunt,Werewolves,Rolo Tomassi
4406,1992 – present (30 years),Madball,Sworn Enemy,Born from Pain
4407,2004 – 2013 (9 years),Digimortal,Mercenary,Eye of the Enemy
4408,2002 – present (20 years),Нуки,Tracktor Bowling,Louna
4409,23 March 1988 (age 34),I Declare War,Carnifex,The Acacia Strain
4410,2000 – present (22 years),Lionheart,Madball,First Blood
4411,,МедуZа,Метод Падения,Эйфори.я
4412,,Everlost,Scartown,Inexist
4413,,Полтора Землекопа,The Crhyme Scene,Wild By Heart
4414,,Invertor,Amatory,Autoscan
4415,1998 – present (24 years),Psy'Aviah feat. Leaether Strip,Deathgression,Neikka Rpm feat. leaether Strip
4416,,One-Way Mirror,Arkaea,Black Comedy
4417,,Narziss,Soulgate's Dawn,maintain
4418,,Emeline Michel,Helping Haiti,"Beyoncé, Mary J. Blige, Rihanna, Fergie, Sheryl Crow, Melissa Etheridge, Natasha Bedingfield, Miley Cyrus, Leona Lewis, Carrie Underwood, Keyshia Cole, LeAnn Rimes, Ashanti, Ciara & Mariah Carey"
4419,,Diwali,Replace,Under Line
4420,,Catch Side,Agnela,Zero 21
4421,2010 – present (12 years),XIA,東方神起,Kim Jae Joong
4422,2010 – present (12 years),Super Junior M,SHINee,조규현
4423,2010 – present (12 years),U-KISS,MBLAQ,Infinite
4424,,Esperanto Desperado,La Porkoj,Dolchamar
4425,,La Sabrosura Dura,The Rite Flyers,The Local Saints
4426,17 September 1923,Merle Haggard,George Jones,Conway Twitty
4427,1987 – 1994 (7 years),Son Volt,Whiskeytown,Jay Farrar
4428,22 June 1936 (age 86),Waylon Jennings,Merle Haggard,The Highwaymen
4429,,,,
4430,2 October 1967 (age 55),Dave Rawlings Machine,Gillian Welch & David Rawlings,Lucinda Williams
4431,1988 – present (34 years),Kaj Tiel Plu,Jacques Yvart,Persone
4432,1968 – 2000 (32 years),Gram Parsons,The International Submarine Band,The Byrds
4433,,Kajto,Jacques Yvart,Persone
4434,,Nubi,Ol Kainry,James Izmad
4435,1993 – present (29 years),16 Horsepower,Lera Lynn,Gillian Welch
4436,17 January 1955 (age 67),Steve Earle & The Dukes,Robert Earl Keen,Guy Clark
4437,26 January 1953 (age 69),Emmylou Harris,Gillian Welch,Steve Earle
4438,24 December 1970 (age 51),Palace Music,Will Oldham,Palace Brothers
4439,,This American Life,The New York Times,BBC Radio 4
4440,9 July 1940 (age 82),Strika Tango,Esperanto Desperado,La Porkoj
4441,14 April 1932 (age 90),Tammy Wynette,Conway Twitty & Loretta Lynn,Conway Twitty
4442,12 December 1972 (age 49),David Allan Coe,Wayne Hancock,Hank Williams Jr.
4443,6 November 1941,John Prine,Jerry Jeff Walker,Billy Joe Shaver
4444,1967 – 1999 (32 years),Bob Dylan and The Band,Bob Dylan,Buffalo Springfield
4445,20 December 1957 (age 64),Wilco,Uncle Tupelo,Billy Bragg
4446,"London, England, United Kingdom",Esperanto Desperado,Persone,Martin & La Talpoj
4447,2 March 1942,The Velvet Underground,Lou Reed & John Cale,John Cale
4448,12 September 1931,Merle Haggard,Buck Owens,Conway Twitty
4449,30 April 1933 (age 89),Waylon Jennings,Merle Haggard,Kris Kristofferson
4450,5 November 1946,The Flying Burrito Brothers,The International Submarine Band,Dillard & Clark
4451,2 April 1947 (age 75),Rosanne Cash,Lucinda Williams,Nanci Griffith
4452,,Babá Ken Okulolo and the Nigerian Brothers,Tété Alhinho,Will Keys
4453,,ABC Science Online,ABC Local Radio,ABC Science Online and triple j
4454,4 March 1982 (age 40),Kalben,Mor ve Ötesi,Sena Şener
4455,,Without Tomorrow,Ages Apart,Beyond the Now
4456,2006 – present (16 years),Burden of a Day,Upon This Dawning,A Skylit Drive
4457,2001 – 2008 (7 years),Sugababes,Steps,Emma Bunton
4458,,Amel Larrieux,Van Hunt,Groove Theory
4459,9 March 1975 (age 47),Anna Bergendahl,Anna Ternheim,Laleh
4460,30 December 1988 (age 33),Michael Buble & Holly Palmer,David Sneddon,Lee Ryan
4461,,Chemistry,Boa,伊藤由奈
4462,,Aaryn Doyle,Alyson Stoner,Caleigh Peters
4463,2003 – 2009 (6 years),One Call,Varsity Fanclub,V Factory
4464,2007 – 2017 (9 years),miss A,f(x),Brown Eyed Girls
4465,2001 – present (21 years),McBusted,McFly,Scouting for Girls
4466,5 May 1988 (age 34),Heidi Montag,Willa Ford,Jessica Simpson
4467,29 June 1986 (age 36),Akcent,Edward Maya & Vika Jigulina,Deepside Deejays
4468,,Taio Cruz,Sean Kingston,Jay Sean
4469,25 August 1985 (age 37),Jessica Mauboy,Dawn Richard,Havana Brown
4470,7 November 1988 (age 34),Tinchy Stryder,Example,Wretch 32
4471,15 February 1984 (age 38),Virgin,Agnieszka Chylińska,Sylwia Grzeszczak
4472,12 January 1980 (age 42),Ashanti,Mýa,Brandy
4473,1994 – 2003 (9 years),Agnieszka Chylińska,Varius Manx,Kasia Kowalska
4474,,Doda,Agnieszka Chylińska,Mandaryna
4475,9 September 1973 (age 49),Nosowska,Brodka,Hey
4476,30 August 1971 (age 51),Hey,Maria Peszek,Brodka
4477,,Stefan Filipović,Csézy,Diana Gurtskaya
4478,23 May 1976 (age 46),ONA,Milczenie Owiec,Zalef
4479,3 March 1976 (age 46),Edyta Górniak,Justyna Steczkowska,Patrycja Markowska
4480,,Kasia Kowalska,Goya,Ania Wyszkoni
4481,21 June 1997 (age 25),Charli XCX,LIZ,Slayyyter
4482,,Ali Pierre,Ameerah,David Guetta feat. Flo Rida & Nicki Minaj
4483,1983 – 1989 (6 years),Underground Life,Faust'o,Syria
4484,,Stefani Germanotta,Alisia,Preslava
4485,,Ximbica,Lolene,Kimberly Wyatt
4486,1984 (age 38),Ryan Leslie,LeToya,Melanie Fiona
4487,,Danny Jones,Harry Judd,Son of Dork
4488,16 August 1997 (age 25),Troye Sivan,Cody Simpson,Jesse McCartney
4489,,Azax Syndrom vs Bliss,Psychotic Micro,Seroxat
4490,,Dealema,Sir Scratch,Mind Da Gap
4491,2 March 1971 (age 51),Redman,Wu-Tang Clan,Raekwon
4492,5 July 1969 (age 53),Masta Killa,Wu-Tang Clan,Method Man
4493,,1200 Micrograms,Talamasca,Space Tribe
4494,,Sirius Isness,Dynamic,Broken Toy
4495,,DJ Dr.Gore,Lenny B.,Amannda Aragão
4496,19 April 1957 (age 65),Afrika Bambaataa & The Soulsonic Force,Mantronix,Grandmaster Flash and The Furious Five
4497,1994 – 2000 (6 years),D-Styles,Phonopsychographdisk,Cut Chemist Meets Shortkut
4498,1992 – present (30 years),dead prez,Camp Lo,Killer Mike
4499,,Tryambaka,Azax Syndrom,Khopat
4500,,Broken Toy,Oforia,Silicon Sound
4501,,Wrecked Machines,Broken Toy,Silicon Sound
4502,,Too $hort,Mac Dre,B-Legit
4503,1996 – present (26 years),The Coup,Immortal Technique,Talib Kweli
4504,1989 – present (33 years),Lords of the Underground,LL Cool J,Das EFX
4505,19 April 1971 (age 51),Christian Smith,Jay Lumen,Julian Jeweil
4506,12 May 1981 (age 41),Ace Ventura,Vini Vici,Liquid Soul
4507,,Derango,Parasense,Kindzadza
4508,2003 – present (19 years),Didrapest,Freaked Frequency,Alternative Control
4509,1993 – present (29 years),Ol' Dirty Bastard,Ghostface Killah,Raekwon
4510,,Symbyosis,Nahemah,Ikuinen Kaamos
4511,1995 – present (27 years),Finntroll,Thyrfing,Falkenbach
4512,1997 – present (25 years),Falkenbach,Månegarm,Crimfall
4513,,Metalsteel,Pomaranča,Tiffany Elle
4514,,Ensiferum,Finntroll,Finsterforst
4515,,Танцы Минус,Мумий Тролль,Ундервуд
4516,1997 – present (25 years),Scar Symmetry,Nevermore,Mercenary
4517,2000 – present (22 years),Les Discrets,Amesoeurs,Lantlôs
4518,2000 – present (22 years),Be'lakor,Loch Vostok,Omnium Gatherum
4519,1991 – present (31 years),Myrath,Subterranean Masquerade,Melechesh
4520,2003 – present (19 years),The Fall of Every Season,Evadne,Novembre
4521,,Beyond Creation,First Fragment,Necrophagist
4522,20 August 1979 (age 43),Gregory Porter,Diana Krall,Peter Cincotti
4523,,Ja Rule,Pretty Ricky,T-Pain
4524,8 December 1979 (age 43),Sara Bareilles,A Fine Frenzy,Erin McCarley
4525,9 April 1987 (age 35),Brandy,Fantasia,Teyana Taylor
4526,21 July 1948 (age 74),James Taylor,Simon & Garfunkel,Paul Simon
4527,2001 – present (21 years),Conor Oberst,Bright Eyes,Conor Oberst and the Mystic Valley Band
4528,1983 – 1992 (9 years),The Stone Roses,Cast,The Charlatans
4529,,Michel Thomas,Teach Yourself,Radio Lingua Network
4530,15 September 1990 (age 32),Jean Tonique,Lifelike,Cherokee
4531,2004 – present (18 years),Thrangh,Neilos,Snakeprint
4532,,Neilos,Tribraco,Solar Orchestra
4533,,Dusty,Go 2,Lou Grant
4534,,Neilos,Tribraco,Solar Orchestra
4535,,Mini K bros,Tribraco,Snakeprint
4536,,Snakeprint,Neilos,Unnaddarè
4537,,Neilos,Tribraco,Solar Orchestra
4538,,Ordo Rosarius Equilibrio & Spiritual Front,Roma Amor,TriORE
4539,,Mini K bros,Neilos,Pink Puffers
4540,,Snakeprint,SUPERiO,Mini K bros
4541,,Neilos,Snakeprint,Unnaddarè
4542,1997 – present (25 years),Secret Chiefs 3,Fantômas,John Zorn
4543,,A Fashionable Disease,Squartet,testadeporcu
4544,,Goodphellas,Mini K bros,Snakeprint
4545,,testadeporcu,[Br]om,Thrangh
4546,,The Flatlands Collective,"Hamid Drake, Albert Beger, William Parker",Mark O'Leary
4547,,Vinny Golia Quartet,"Hamid Drake, Albert Beger, William Parker",Tripleplay
4548,1997 – present (25 years),Zu & Eugene Chadbourne,Zu & Nobukazu Takemura,Zu & Spaceways Inc.
4549,"Cork, County Cork, Munster, Ireland",Vinny Golia Quartet,The Flatlands Collective,Revolutionary Ensemble
4550,,Pippo Sowlo,Gary Peacock Trio,Maria Pia De Vito
4551,,Oriole,"Dudu Pukwana, Bob Stuckey, Phil Lee, John Marshall, Terry Smith, Martin Hart",The Chris McGregor Trio
4552,,Diatribes,POW Ensemble,The Recyclers
4553,,Henry Threadgill & Make a Move,Tim Berne,Hilmar Jensson
4554,,Squartet,Thrangh,A Fashionable Disease
4555,23 March 1945,Lucio Dalla,Fabrizio De André,Francesco De Gregori
4556,,Zloty Dawai,The Flatlands Collective,Vinny Golia Quartet
4557,2002 – present (20 years),Emperor Norton's Stationary Marching Band,Tovio,The Amazing Rondini Brothers
4558,,Sonny Sharrock,Anthony Braxton,Cecil Taylor
4559,1971 – present (51 years),Frank Wright,Joseph Jarman,Revolutionary Ensemble
4560,,Theophany for Imbeciles (Demos & Covers),aboolele,פחית
4561,,CCCP – Fedeli Alla Linea,Afterhours,Marlene Kuntz
4562,,Revolutionary Ensemble,Fred Anderson,Tripleplay
