artistID,userID,tagID,month,year
1,37,552,7,2008
1,274,1219,5,2008
1,681,139,8,2008
1,681,141,8,2008
1,785,2850,8,2010
1,1545,139,1,2008
1,1545,141,1,2008
1,1545,179,1,2008
1,1545,541,1,2008
1,1730,139,10,2008
1,1730,141,10,2008
1,1730,179,10,2008
1,1730,541,10,2008
1,1929,139,5,2006
1,1984,139,2,2008
2,40,30,1,2009
2,40,127,8,2009
2,40,575,7,2008
2,225,61,10,2009
2,264,30,3,2008
2,325,30,5,2011
2,325,179,5,2011
2,325,575,5,2011
2,697,14,10,2007
2,697,233,10,2007
2,697,727,10,2007
2,935,179,12,2005
2,935,575,12,2005
2,1454,18,9,2009
2,1454,30,9,2009
2,1454,127,9,2009
2,1454,179,9,2009
2,1454,575,9,2009
2,1601,575,3,2007
2,1604,575,1,2008
2,1622,10137,5,2008
2,1679,30,1,2010
2,1679,179,1,2010
2,1679,190,1,2010
2,1679,575,1,2010
2,1929,179,12,2006
2,1929,575,12,2006
3,63,4,3,2011
3,548,4,10,2008
3,548,2092,10,2008
3,548,3706,10,2008
3,548,4117,10,2008
3,548,4122,10,2008
3,685,4,12,2009
3,1622,3706,5,2008
3,1622,8882,5,2008
4,681,139,8,2008
4,681,141,8,2008
4,699,1,5,2007
4,1161,7561,10,2008
4,1497,9640,12,2006
4,1545,1,1,2008
4,1545,73,1,2008
4,1545,139,1,2008
4,1545,141,1,2008
4,1545,179,1,2008
4,1545,541,1,2008
4,1679,7,2,2010
4,1679,139,2,2010
4,1679,179,2,2010
4,1679,541,2,2010
4,1730,139,10,2008
4,1730,141,10,2008
4,1730,179,10,2008
4,1730,541,10,2008
4,1929,139,4,2007
4,1929,541,4,2007
4,1984,139,4,2008
5,557,179,6,2010
5,557,190,6,2010
5,557,575,6,2010
5,935,575,2,2007
5,935,612,2,2007
5,1774,575,9,2007
5,2055,1097,6,2009
6,459,4,2,2011
6,459,7,2,2011
6,459,82,2,2011
6,459,1482,2,2011
6,548,7,7,2008
6,548,82,8,2008
6,548,127,12,2008
6,548,190,10,2008
6,548,233,10,2008
6,548,285,10,2008
6,548,524,10,2008
6,548,713,10,2008
6,548,793,10,2008
6,604,179,8,2006
6,616,4,6,2009
6,616,7,6,2009
6,706,4,12,2010
6,715,7,2,2008
6,715,82,2,2008
6,1172,7,12,2008
6,1172,1484,12,2008
6,1230,191,1,2010
6,1230,7996,1,2010
6,1342,4,10,2008
6,1342,7,10,2008
6,1342,82,10,2008
6,1497,9640,12,2006
7,37,555,7,2008
7,40,127,10,2009
7,40,189,7,2008
7,40,610,10,2009
7,59,191,11,2008
7,59,232,7,2008
7,59,238,7,2008
7,59,370,11,2007
7,59,737,12,2008
7,59,793,7,2008
7,59,797,7,2008
7,59,804,12,2008
7,59,810,12,2008
7,63,61,3,2011
7,84,2,2,2011
7,84,6,2,2011
7,84,78,2,2011
7,104,1,3,2010
7,124,1,7,2008
7,124,79,7,2008
7,149,1,1,2009
7,155,1712,2,2007
7,159,1,1,2009
7,159,61,1,2009
7,159,73,1,2009
7,159,79,1,2009
7,191,1983,2,2010
7,191,1984,2,2010
7,191,1985,2,2010
7,217,2139,10,2008
7,225,6,6,2009
7,225,61,6,2009
7,229,73,6,2009
7,249,1,6,2009
7,249,61,5,2009
7,249,79,6,2009
7,313,1,3,2007
7,321,1984,3,2010
7,321,2755,3,2010
7,372,1,3,2010
7,372,6,3,2010
7,372,73,3,2010
7,388,61,3,2008
7,395,61,8,2009
7,396,1,7,2010
7,396,61,7,2010
7,396,216,7,2010
7,433,1,3,2010
7,433,6,3,2010
7,433,61,3,2010
7,433,73,3,2010
7,433,189,3,2010
